Q{E H.N,{.,('{"b1***{+++v1": "Q{E","b2***.+++v1": "H.N"}', '{"v1": "Q{E H.N"}', '{.')
R{N C.T,{.,('{"b1***{+++v1": "R{N","b2***.+++v1": "C.T"}', '{"v1": "R{N C.T"}', '{.')
T{Q L.O,{.,('{"b1***{+++v1": "T{Q","b2***.+++v1": "L.O"}', '{"v1": "T{Q L.O"}', '{.')
T{W D.U,
E{U C.D,
K{S P.Y,
C{G D.T,
W{B P.I,
B{V O.W,
Y{V U.U,
X{X N.Q,
N{I E.O,
O{L Y.M,
N{C J.A,
H{E A.T,
D{V B.T,
T{U I.N,
E{E B.J,
A{V F.K,
P{Q H.D,
R{T J.W,
C{V W.E,
U{E U.E,
M{J I.O,
D{A O.H,
U{E J.D,
T{F V.Z,
J{S K.Y,
A{Y P.B,
E{Y Z.M,
